Average speed,Max speed,Distance,Duration,Start time
26.594016748830814,42.7476,38.64997100830078,5232.0,2018-10-14 14:30:34
23.8059974155543,38.8814,38.803775787353516,5868.0,2018-10-12 16:58:50
25.046722593336668,41.6592,38.66239929199219,5557.0,2018-10-09 18:38:46
25.198437115839493,44.575,38.700599670410156,5529.0,2018-10-07 17:39:50
25.086549699446127,42.8115,38.668128967285156,5549.0,2018-10-06 18:20:03
24.593014037351875,41.4346,38.62469482421875,5654.0,2018-10-05 18:14:40
24.245427764058007,41.159,38.66472244262695,5741.0,2018-10-04 18:22:59
25.616295224144345,83.4034,53.794219970703125,7560.0,2018-10-01 17:12:34
25.616295224144345,83.4034,53.794219970703125,7560.0,2018-10-01 17:12:34
24.88675512053249,46.1733,53.88673782348633,7795.0,2018-09-21 17:33:53
24.263350650769407,42.2716,38.67982482910156,5739.0,2018-09-20 18:22:57
25.878927887881478,45.7766,53.734718322753906,7475.0,2018-09-19 12:10:22
24.871421922718255,45.6387,53.79826736450195,7787.0,2018-09-18 18:23:24
26.298509888027024,46.2532,53.76584243774414,7360.0,2018-09-17 12:20:03
26.368781144461966,66.5151,53.27226257324219,7273.0,2018-07-31 12:41:21
26.272190555272314,54.35,53.230377197265625,7294.0,2018-07-30 17:42:19
27.833525662916607,48.9518,53.239349365234375,6886.0,2018-07-29 13:10:29
27.240048379625517,51.251,53.216461181640625,7033.0,2018-07-28 13:16:49
26.480012521061262,46.9528,53.23953628540039,7238.0,2018-07-27 12:43:00
23.088229741169666,43.5811,39.45521926879883,6152.0,2018-07-26 18:17:15
25.32446893682683,49.3409,53.188419342041016,7561.0,2018-07-24 12:33:17
26.90222283776847,64.293,53.169254302978516,7115.0,2018-07-23 12:24:54
25.87484356133689,54.0596,53.20155334472656,7402.0,2018-07-22 18:24:59
22.886900984056645,41.9455,32.060733795166016,5043.0,2018-07-21 12:22:48
25.985021823790017,47.3998,53.26929473876953,7380.0,2018-07-20 16:21:48
25.16890818678488,43.5682,53.27418899536133,7620.0,2018-07-19 12:33:25
26.702251755893936,45.7873,53.23390579223633,7177.0,2018-07-18 12:16:54
25.543132442209757,46.2651,53.29290771484375,7511.0,2018-07-17 15:17:58
26.082633989787816,47.0125,53.33174133300781,7361.0,2018-07-16 12:18:46
26.76982078142178,90.8226,53.26450729370117,7163.0,2018-07-15 12:34:20
26.70502663985081,52.1862,53.335872650146484,7190.0,2018-07-14 17:51:08
25.42529821490748,47.7327,53.24481201171875,7539.0,2018-07-13 11:03:45
26.382144844651567,44.701,53.343231201171875,7279.0,2018-07-12 11:32:50
25.831081074200352,43.2487,53.32683181762695,7432.0,2018-07-11 11:22:00
24.974306525422527,41.9943,38.22456359863281,5510.0,2018-07-10 11:19:32
24.808054384977922,50.4944,53.25462341308594,7728.0,2018-07-09 12:01:39
27.019269496299053,51.7766,53.26548767089844,7097.0,2018-07-08 12:52:17
27.196519774352318,58.5926,53.290069580078125,7054.0,2018-07-07 12:59:21
26.415543829291927,48.0838,53.300697326660156,7264.0,2018-07-06 12:34:22
24.597705893802203,83.7116,53.37702178955078,7812.0,2018-07-05 12:10:26
25.726912881554394,46.2026,53.319026947021484,7461.0,2018-06-30 12:14:14
25.82648256882578,57.1515,53.32451248168945,7433.0,2018-06-29 12:42:52
25.6570655179311,44.7362,53.23841094970703,7470.0,2018-06-27 17:51:54
26.12980193385179,130.624,53.290279388427734,7342.0,2018-06-26 13:36:53
25.863937090574087,55.4705,53.028255462646484,7381.0,2018-06-25 13:56:39
26.31221435882233,46.5842,53.209144592285156,7280.0,2018-06-24 13:32:40
25.553777509515292,52.8336,53.44288635253906,7529.0,2018-06-23 13:31:26
26.459495669505635,51.4539,60.52609634399414,8235.0,2018-06-22 13:16:22
24.55619843797283,51.2784,60.57877731323242,8881.0,2018-06-21 13:53:45
24.59561420261645,53.1166,60.55986785888672,8864.0,2018-06-20 17:30:12
23.488481023493357,170.173,60.68510055541992,9301.0,2018-06-19 15:36:58
24.601048918559723,86.5127,60.43657684326172,8844.0,2018-06-18 12:27:51
25.47384297567403,98.3704,60.479148864746094,8547.0,2018-06-17 13:08:17
23.217468998007742,74.532,61.48114776611328,9533.0,2018-06-16 13:43:14
26.68880393900561,52.0807,60.472381591796875,8157.0,2018-06-15 15:17:47
24.708744338451158,50.4694,60.52956008911133,8819.0,2018-06-14 14:07:22
24.971971215452093,49.7798,60.70963668823242,8752.0,2018-06-12 14:30:50
24.824608918922287,53.4236,60.537567138671875,8779.0,2018-06-11 16:12:46
25.600316029505365,53.044,60.487857818603516,8506.0,2018-06-10 14:45:51
26.557362018576832,80.3501,60.50652313232422,8202.0,2018-06-09 13:35:36
26.224928720707833,51.1622,60.43389129638672,8296.0,2018-06-08 14:55:15
25.340111639547132,52.1473,60.45728302001953,8589.0,2018-06-06 16:40:19
25.65504979279082,85.288,60.54591751098633,8496.0,2018-06-03 13:11:01
25.563511611682344,50.3356,60.49320983886719,8519.0,2018-06-02 13:18:19
24.767501883132464,51.1622,60.47398376464844,8790.0,2018-06-01 13:35:09
25.18008284215066,51.0781,60.81689453125,8695.0,2018-05-30 13:06:07
24.852585726497576,55.0319,59.8118896484375,8664.0,2018-05-29 13:19:33
25.777448333754513,57.3686,61.20711898803711,8548.0,2018-05-28 16:58:07
25.20400343112603,49.8513,58.459285736083984,8350.0,2018-05-27 12:50:38
26.045212562755175,53.4579,57.14753723144531,7899.0,2018-05-26 18:25:17
24.532938959946947,48.6803,57.07997131347656,8376.0,2018-05-25 13:17:37
24.182713160345845,50.5609,30.517240524291992,4543.0,2018-05-23 19:34:49
26.261630940813586,51.9235,30.507261276245117,4182.0,2018-05-22 15:29:10
24.210984828108447,120.2,57.13792419433594,8496.0,2018-05-21 16:39:40
24.872560307224862,49.7482,57.096343994140625,8264.0,2018-05-20 17:51:31
25.750430608070307,67.2595,57.13734436035156,7988.0,2018-05-19 13:37:42
24.022552746684614,47.2461,57.96775436401367,8687.0,2018-05-17 17:06:57
24.424540442878037,49.8748,57.26197814941406,8440.0,2018-05-16 17:18:02
25.336039957907722,54.3751,30.487701416015625,4332.0,2018-05-14 21:00:29
24.902500632238887,52.0044,30.477893829345703,4406.0,2018-05-11 17:09:48
25.032575061944886,51.9225,57.10208511352539,8212.0,2018-05-09 16:34:38
24.619690134438002,51.956,56.221797943115234,8221.0,2018-05-07 16:37:40
24.63091713720444,71.4278,34.83222198486328,5091.0,2018-05-06 17:05:42
23.83620336088935,43.0566,29.97402572631836,4527.0,2018-05-05 18:11:15
25.282400599888394,52.6728,30.725139617919922,4375.0,2018-05-02 15:39:19
26.940362696602165,54.875,30.599761962890625,4089.0,2018-04-24 15:14:03
25.115142391658015,57.4557,30.65442657470703,4394.0,2018-04-23 16:36:59
25.23236906053689,50.5928,26.045412063598633,3716.0,2018-04-22 18:41:53
